iter	Passed	Remaining
0	161	161331
1	164	82093
2	167	55748
3	170	42519
4	174	34701
5	177	29399
6	180	25630
7	183	22790
8	187	20615
9	190	18876
10	193	17356
11	195	16085
12	197	14998
13	199	14045
14	201	13212
15	202	12465
16	204	11801
17	205	11208
18	206	10672
19	207	10190
20	209	9755
21	210	9347
22	211	8976
23	212	8635
24	213	8329
25	214	8040
26	215	7773
27	216	7517
28	217	7278
29	218	7055
30	219	6855
31	220	6660
32	221	6476
33	221	6303
34	222	6138
35	223	5982
36	224	5835
37	224	5694
38	225	5562
39	226	5437
40	227	5319
41	228	5204
42	228	5093
43	229	4986
44	230	4886
45	230	4788
46	231	4697
47	232	4608
48	233	4522
49	233	4438
50	234	4357
51	234	4279
52	235	4204
53	235	4132
54	236	4063
55	237	3996
56	237	3931
57	238	3869
58	238	3808
59	239	3750
60	239	3693
61	240	3638
62	241	3586
63	241	3537
64	242	3487
65	243	3439
66	243	3392
67	244	3347
68	244	3304
69	245	3261
70	246	3220
71	246	3179
72	247	3140
73	247	3101
74	248	3064
75	249	3027
76	249	2992
77	250	2957
78	250	2923
79	251	2890
80	252	2859
81	252	2827
82	252	2794
83	253	2764
84	254	2734
85	254	2706
86	255	2678
87	256	2653
88	256	2628
89	257	2603
90	258	2578
91	258	2553
92	259	2528
93	259	2504
94	260	2481
95	261	2458
96	261	2435
97	262	2413
98	262	2391
99	263	2370
100	263	2349
101	264	2328
102	265	2308
103	265	2288
104	266	2269
105	266	2250
106	267	2232
107	268	2214
108	268	2196
109	269	2178
110	269	2161
111	270	2145
112	271	2129
113	272	2118
114	273	2103
115	273	2087
116	274	2070
117	274	2055
118	275	2039
119	276	2025
120	276	2010
121	277	1994
122	277	1980
123	278	1966
124	278	1952
125	279	1939
126	280	1925
127	280	1911
128	281	1898
129	281	1885
130	282	1873
131	282	1860
132	283	1848
133	284	1835
134	284	1823
135	285	1812
136	286	1804
137	287	1793
138	287	1783
139	288	1772
140	289	1761
141	289	1749
142	290	1739
143	290	1728
144	291	1718
145	291	1707
146	292	1697
147	293	1687
148	293	1677
149	294	1667
150	294	1658
151	295	1648
152	296	1638
153	296	1629
154	297	1620
155	297	1611
156	298	1602
157	299	1593
158	299	1585
159	300	1577
160	301	1569
161	301	1561
162	302	1553
163	303	1545
164	303	1536
165	304	1528
166	304	1520
167	305	1512
168	306	1504
169	306	1496
170	307	1489
171	307	1481
172	308	1474
173	309	1467
174	309	1459
175	310	1452
176	310	1445
177	311	1437
178	311	1430
179	312	1423
180	313	1416
181	313	1409
182	314	1404
183	315	1398
184	316	1392
185	316	1386
186	317	1380
187	318	1375
188	319	1369
189	319	1363
190	320	1356
191	320	1350
192	321	1344
193	322	1338
194	322	1332
195	323	1326
196	323	1320
197	324	1314
198	325	1308
199	325	1302
200	326	1296
201	326	1290
202	327	1285
203	327	1279
204	328	1274
205	329	1269
206	329	1263
207	330	1258
208	331	1253
209	331	1248
210	332	1243
211	333	1238
212	333	1232
213	334	1227
214	334	1222
215	335	1217
216	336	1212
217	336	1207
218	337	1202
219	337	1197
220	338	1192
221	338	1187
222	339	1182
223	340	1178
224	340	1173
225	341	1168
226	341	1163
227	342	1159
228	342	1154
229	343	1150
230	344	1145
231	344	1141
232	345	1137
233	346	1133
234	346	1129
235	347	1124
236	348	1120
237	348	1116
238	349	1111
239	349	1107
240	350	1103
241	351	1099
242	351	1095
243	352	1091
244	352	1087
245	353	1083
246	353	1078
247	354	1074
248	355	1070
249	355	1066
250	356	1062
251	356	1059
252	357	1055
253	358	1051
254	358	1047
255	359	1043
256	359	1039
257	360	1036
258	361	1033
259	361	1029
260	362	1026
261	362	1022
262	363	1018
263	364	1015
264	364	1011
265	365	1008
266	365	1004
267	366	1000
268	367	997
269	367	993
270	368	990
271	368	986
272	369	983
273	369	980
274	370	976
275	371	973
276	371	970
277	372	966
278	372	963
279	373	960
280	374	957
281	374	954
282	375	952
283	376	948
284	377	946
285	377	943
286	378	939
287	378	936
288	379	934
289	380	931
290	380	927
291	381	924
292	382	921
293	382	918
294	383	915
295	383	912
296	384	909
297	384	906
298	385	904
299	386	901
300	386	898
301	387	895
302	387	892
303	388	889
304	389	886
305	389	884
306	390	881
307	391	878
308	391	875
309	392	873
310	392	870
311	393	867
312	394	864
313	394	862
314	395	859
315	395	856
316	396	854
317	396	851
318	397	848
319	398	845
320	398	843
321	399	840
322	399	838
323	400	835
324	401	833
325	401	830
326	402	828
327	402	825
328	403	822
329	404	820
330	404	817
331	405	815
332	405	813
333	406	810
334	407	808
335	407	805
336	408	803
337	408	800
338	409	798
339	410	795
340	410	793
341	411	791
342	411	788
343	412	786
344	412	783
345	413	781
346	414	779
347	414	776
348	415	774
349	415	772
350	416	769
351	416	767
352	417	765
353	418	762
354	418	760
355	419	758
356	419	756
357	420	754
358	421	752
359	421	749
360	422	747
361	423	745
362	423	743
363	424	741
364	424	739
365	425	736
366	425	734
367	426	732
368	427	730
369	427	728
370	428	726
371	428	724
372	429	721
373	430	719
374	430	717
375	431	715
376	431	713
377	432	711
378	433	709
379	433	707
380	434	705
381	435	703
382	435	702
383	436	700
384	437	698
385	437	696
386	438	694
387	438	692
388	439	690
389	439	688
390	440	686
391	441	684
392	441	682
393	442	680
394	442	678
395	443	676
396	444	674
397	444	672
398	445	670
399	445	668
400	446	666
401	446	664
402	447	663
403	448	661
404	448	659
405	449	657
406	450	655
407	450	654
408	451	652
409	452	650
410	452	648
411	453	646
412	453	645
413	454	643
414	454	641
415	455	639
416	456	637
417	456	635
418	457	634
419	457	632
420	458	630
421	459	628
422	459	627
423	460	625
424	460	623
425	461	621
426	462	620
427	462	618
428	463	616
429	463	614
430	464	613
431	465	611
432	466	610
433	466	608
434	467	606
435	467	605
436	468	603
437	469	601
438	469	600
439	470	598
440	470	596
441	471	595
442	471	593
443	472	591
444	473	590
445	473	588
446	474	586
447	474	585
448	475	583
449	476	581
450	476	580
451	477	578
452	477	576
453	478	575
454	478	573
455	479	572
456	480	570
457	481	569
458	481	567
459	482	566
460	483	564
461	483	563
462	484	561
463	485	560
464	485	558
465	486	557
466	486	555
467	487	554
468	488	553
469	489	551
470	490	550
471	490	549
472	491	547
